city,county,county_pene_rate,dist_sth,dist_sys_voters_pen,dist_voters_indist_est,dist_voters_indist_rate,distcen_hh_indist,in_district,state,sys_census_hh_pene_rate,sys_census_hh_zip_pene,sys_code,sys_media,sys_name,sys_subscribers,sys_type,system_type,zip_census_hh_in_zip,zip_code,zip_l2_voters_in_zip,zone_int
Princeton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",17664,08540,26699,9762
Princeton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",1354,08542,1781,9762
Princeton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",90,08544,1424,9762
Princeton Junction,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",7094,08550,13336,9762
Roebling,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",1410,08554,2228,9762
Titusville,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",1413,08560,2780,9762
Wrightstown,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",2085,08562,2935,9762
Trenton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",1021,08608,608,9762
Trenton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",4468,08609,5817,9762
Trenton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",11769,08610,16607,9762
Trenton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",8296,08611,8366,9762
Trenton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",13292,08618,20199,9762
Trenton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",8810,08619,14645,9762
Trenton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",4375,08620,7993,9762
Trenton,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",3927,08628,6285,9762
